ont,wikiPageWikiLink,link
http://fr.dbpedia.org/resource/Syndrome,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Syndrome_myélodysplasique
http://fr.dbpedia.org/resource/Tampa,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Conference_USA
http://fr.dbpedia.org/resource/Tampa,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Créole_haïtien
http://fr.dbpedia.org/resource/Tampa,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Gratte-ciel
http://fr.dbpedia.org/resource/Tampa,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/National_Collegiate_Athletic_Association
http://fr.dbpedia.org/resource/Tampa,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Reconstruction_(États-Unis)
http://fr.dbpedia.org/resource/Tampa,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Tampa_Bay_Times
http://fr.dbpedia.org/resource/Tampa,http://dbpedia.org/ontology/wikiPageWikiLink,"http://fr.dbpedia.org/resource/The_Punisher_(film,_2004)"
http://fr.dbpedia.org/resource/Tampa,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Université_de_Floride_du_Sud
http://fr.dbpedia.org/resource/Tampa,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Reax_Music_Magazine
http://fr.dbpedia.org/resource/Techniques_de_relaxation,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Dépression_(psychiatrie)
http://fr.dbpedia.org/resource/Techniques_de_relaxation,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Fatigue_(physiologie)
http://fr.dbpedia.org/resource/Tennis,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/2001
http://fr.dbpedia.org/resource/Tennis,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/2010
http://fr.dbpedia.org/resource/Tennis,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Ace_(tennis)
http://fr.dbpedia.org/resource/Tennis,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Amanda_Coetzer
http://fr.dbpedia.org/resource/Tennis,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Decoturf
http://fr.dbpedia.org/resource/Tennis,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Football
http://fr.dbpedia.org/resource/Tennis,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Forest_Hills_(Queens)
http://fr.dbpedia.org/resource/Tennis,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/La_Plus_Belle_Victoire
http://fr.dbpedia.org/resource/Tennis,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Plexicushion
http://fr.dbpedia.org/resource/Tennis,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Septembre_2007
http://fr.dbpedia.org/resource/Tennis,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Single_(musique)
http://fr.dbpedia.org/resource/Tennis,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Slovaquie
http://fr.dbpedia.org/resource/Tennis,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/US_Open_de_tennis_1998
http://fr.dbpedia.org/resource/Tennis,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Marcel_Martin_(réalisateur)
http://fr.dbpedia.org/resource/TIE2,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Cellule_souche_hématopoïétique
http://fr.dbpedia.org/resource/TIE2,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Tyrosine_kinase
http://fr.dbpedia.org/resource/Tique,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Dinosauria
http://fr.dbpedia.org/resource/Tique,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Fièvre_pourprée_des_montagnes_Rocheuses
http://fr.dbpedia.org/resource/Tique,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Mulot
http://fr.dbpedia.org/resource/Tique,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Myélite
http://fr.dbpedia.org/resource/Tique,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Opossum
http://fr.dbpedia.org/resource/Tique,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Ornithodoros
http://fr.dbpedia.org/resource/Tique,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Vitamine_B
http://fr.dbpedia.org/resource/Tool,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/2019
http://fr.dbpedia.org/resource/Tool,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Carole_King
http://fr.dbpedia.org/resource/Tool,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Opiate_(album)
http://fr.dbpedia.org/resource/Topiramate,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Paresthésie
http://fr.dbpedia.org/resource/Toxicomanie,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Narcotique
http://fr.dbpedia.org/resource/Tramadol,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Années_1970
http://fr.dbpedia.org/resource/Tramadol,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Inhibiteur_de_la_recapture_de_la_sérotonine_et_de_la_noradrénaline
http://fr.dbpedia.org/resource/Tramadol,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Morphinomimétique
http://fr.dbpedia.org/resource/Tramadol,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Médicament
http://fr.dbpedia.org/resource/Tramadol,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Zinder
http://fr.dbpedia.org/resource/Triamcinolone,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Fichier:Triamcinolone_ball-and-stick_animation.gif
http://fr.dbpedia.org/resource/Trouble_anxieux,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Anxiété
http://fr.dbpedia.org/resource/Tumeur,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Sarcome
http://fr.dbpedia.org/resource/Veau,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Glossaire_de_la_reliure
http://fr.dbpedia.org/resource/Veau,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Industrie_agroalimentaire
http://fr.dbpedia.org/resource/Veau,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Lait
http://fr.dbpedia.org/resource/Veau,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Luc_(évangéliste)
http://fr.dbpedia.org/resource/Veau,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Morse_(animal)
http://fr.dbpedia.org/resource/Veau,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Vêlage_(mise_bas)
http://fr.dbpedia.org/resource/Veille_sanitaire,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Catégorie:Épidémiologie
http://fr.dbpedia.org/resource/Veille_sanitaire,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Pandémie
http://fr.dbpedia.org/resource/Veille_sanitaire,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Risque_pandémique_lié_à_la_grippe_aviaire
http://fr.dbpedia.org/resource/Yoga,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Brahman
http://fr.dbpedia.org/resource/Yoga,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Catégorie:Développement_personnel
http://fr.dbpedia.org/resource/Yoga,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Civilisation_de_la_vallée_de_l'Indus
http://fr.dbpedia.org/resource/Yoga,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Corinne_Cosseron
http://fr.dbpedia.org/resource/Yoga,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Méthode_Pilates
http://fr.dbpedia.org/resource/Yoga,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Satya
http://fr.dbpedia.org/resource/Royaume-Uni,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Blues_rock
http://fr.dbpedia.org/resource/Royaume-Uni,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Erasure
http://fr.dbpedia.org/resource/Royaume-Uni,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Judas_Priest
http://fr.dbpedia.org/resource/Royaume-Uni,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Jésus_de_Nazareth
http://fr.dbpedia.org/resource/Royaume-Uni,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Led_Zeppelin
http://fr.dbpedia.org/resource/Royaume-Uni,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Livre_de_Sainte-Hélène
http://fr.dbpedia.org/resource/Royaume-Uni,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Orange_mécanique
http://fr.dbpedia.org/resource/Royaume-Uni,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Pub_(établissement)
http://fr.dbpedia.org/resource/Royaume-Uni,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Royaume-Uni_de_Grande-Bretagne_et_d'Irlande
http://fr.dbpedia.org/resource/Royaume-Uni,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Royaume_d'Angleterre
http://fr.dbpedia.org/resource/Royaume-Uni,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Sercq
http://fr.dbpedia.org/resource/Royaume-Uni,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Superpuissance
http://fr.dbpedia.org/resource/Royaume-Uni,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Water-polo
http://fr.dbpedia.org/resource/Royaume-Uni,http://dbpedia.org/ontology/wikiPageWikiLink,"http://fr.dbpedia.org/resource/Fichier:Elizabeth_II_greets_NASA_GSFC_employees,_May_8,_2007_edit.jpg"
http://fr.dbpedia.org/resource/Royaume-Uni,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Fichier:BenNevis2005.jpg
http://fr.dbpedia.org/resource/Cage_thoracique,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Clavicule
http://fr.dbpedia.org/resource/Caisson_abdominal,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Diaphragme_(organe)
http://fr.dbpedia.org/resource/Canal_lombaire_étroit,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Ischémie
http://fr.dbpedia.org/resource/Canal_lombaire_étroit,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Spondylolisthésis
http://fr.dbpedia.org/resource/Cancer,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Carcinome_in_situ
http://fr.dbpedia.org/resource/Cancer,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Endoscopie
http://fr.dbpedia.org/resource/Cancer,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Nitrosamine
http://fr.dbpedia.org/resource/Cancer,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Polythérapie
http://fr.dbpedia.org/resource/Cancer,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Surpoids
http://fr.dbpedia.org/resource/Cancer,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Thérapeutique_ciblée
http://fr.dbpedia.org/resource/Cancer,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Tumeur_de_l'utérus
http://fr.dbpedia.org/resource/Cannabis,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Catégorie:Plante_psychotrope
http://fr.dbpedia.org/resource/Cannabis,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Dessiccation
http://fr.dbpedia.org/resource/Cannabis,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Harry_J._Anslinger
http://fr.dbpedia.org/resource/Cannabis,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Pétrole
http://fr.dbpedia.org/resource/Cannabis,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Russie
http://fr.dbpedia.org/resource/Capaci,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Palerme
http://fr.dbpedia.org/resource/Carcinome,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Carcinome_canalaire_in_situ
http://fr.dbpedia.org/resource/Catastrophisme,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Biologie
http://fr.dbpedia.org/resource/Catastrophisme,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Catégorie:Collapsologie
http://fr.dbpedia.org/resource/Catastrophisme,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Extinction_massive
http://fr.dbpedia.org/resource/Catastrophisme,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Géologie
http://fr.dbpedia.org/resource/Catastrophisme,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Transformisme_(biologie)
http://fr.dbpedia.org/resource/Catastrophisme,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Ufologie
http://fr.dbpedia.org/resource/Catastrophisme,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Marduk
http://fr.dbpedia.org/resource/Cou,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Articulation_acromio-claviculaire
http://fr.dbpedia.org/resource/Cou,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Chirurgie_digestive
http://fr.dbpedia.org/resource/Cou,http://dbpedia.org/ontology/wikiPageWikiLink,http://fr.dbpedia.org/resource/Sternum
